"DateTime","Players","Players Trend","Twitch Viewers"
"2021-12-05 18:20:00",3399,4433.22958670743,893
"2021-12-05 18:30:00",3268,4428.939221478542,834
"2021-12-05 18:40:00",3167,4424.916442874455,799
"2021-12-05 18:50:00",3018,4421.217405525256,669
"2021-12-05 19:00:00",2886,4418.009557648872,599
"2021-12-05 19:10:00",2723,4415.172068666336,610
"2021-12-05 19:20:00",2645,4412.847039745497,618
"2021-12-05 19:30:00",2525,4410.5504083347105,629
"2021-12-05 19:40:00",2434,4408.692024045611,653
"2021-12-05 19:50:00",2388,4406.904144631741,671
"2021-12-05 20:00:00",2316,4404.865941579903,728
"2021-12-05 20:10:00",2249,4402.879314025229,674
"2021-12-05 20:20:00",2209,4401.08860794359,721
"2021-12-05 20:30:00",2175,4399.418577507849,674
"2021-12-05 20:40:00",2152,4397.819358370517,624
"2021-12-05 20:50:00",2146,4396.267318074148,574
"2021-12-05 21:00:00",2144,4394.451533493085,539
"2021-12-05 21:10:00",2080,4392.564376411612,550
"2021-12-05 21:20:00",2050,4390.683970968985,579
"2021-12-05 21:30:00",1996,4388.9543498319845,597
"2021-12-05 21:40:00",1954,4387.303469123561,548
"2021-12-05 21:50:00",1926,4385.86969440313,538
"2021-12-05 22:00:00",1884,4384.555290447861,618
"2021-12-05 22:10:00",1906,4383.438722249767,627
"2021-12-05 22:20:00",1867,4381.987381562277,689
"2021-12-05 22:30:00",1804,4380.707978708754,693
"2021-12-05 22:40:00",1760,4379.4619243375755,706
"2021-12-05 22:50:00",1727,4378.502957500138,703
"2021-12-05 23:00:00",1728,4377.751366853963,749
"2021-12-05 23:10:00",1729,4377.205671927505,725
"2021-12-05 23:20:00",1732,4376.835075469619,585
"2021-12-05 23:30:00",1754,4376.495844350796,611
"2021-12-05 23:40:00",1743,4376.084362777503,632
"2021-12-05 23:50:00",1738,4375.949416074479,663
"2021-12-06 00:00:00",1741,4376.044820415359,528
"2021-12-06 00:10:00",1770,4376.2445807855465,538
"2021-12-06 00:20:00",1792,4376.57346926128,525
"2021-12-06 00:30:00",1808,4376.915809370352,560
"2021-12-06 00:40:00",1872,4377.662662507575,605
"2021-12-06 00:50:00",1904,4377.991805762133,655
"2021-12-06 01:00:00",1940,4378.554849749354,642
"2021-12-06 01:10:00",1999,4379.172237371234,653
"2021-12-06 01:20:00",2069,4379.943804054426,660
"2021-12-06 01:30:00",2175,4380.942640334932,712
"2021-12-06 01:40:00",2225,4381.3434693989975,706
"2021-12-06 01:50:00",2242,4381.918725555004,726
"2021-12-06 02:00:00",2274,4382.604352586349,745
"2021-12-06 02:10:00",2310,4383.32052553297,730
"2021-12-06 02:20:00",2396,4384.444671679612,707
"2021-12-06 02:30:00",2476,4385.446544648267,643
"2021-12-06 02:40:00",2558,4386.256555390293,611
"2021-12-06 02:50:00",2631,4387.001724921501,560
"2021-12-06 03:00:00",2716,4387.373856938248,646
"2021-12-06 03:10:00",2786,4387.195859499806,570
"2021-12-06 03:20:00",2863,4386.654974384399,606
"2021-12-06 03:30:00",2893,4386.230523191759,649
"2021-12-06 03:40:00",2957,4385.978450531593,714
"2021-12-06 03:50:00",3000,4385.736486393434,725
"2021-12-06 04:00:00",3080,4385.351068005289,713
"2021-12-06 04:10:00",3137,4384.716482812759,748
"2021-12-06 04:20:00",3164,4384.514501735251,808
"2021-12-06 04:30:00",3340,4384.918997548615,925
"2021-12-06 04:40:00",3414,4384.679584641657,983
"2021-12-06 04:50:00",3460,4383.947212581941,975
"2021-12-06 05:00:00",3531,4383.2502031344675,1004
"2021-12-06 05:10:00",3579,4382.328327273728,982
"2021-12-06 05:20:00",3655,4381.242862749958,1121
"2021-12-06 05:30:00",3755,4379.667661681266,1149
"2021-12-06 05:40:00",3836,4377.86374841624,1214
"2021-12-06 05:50:00",3884,4375.786925714758,1148
"2021-12-06 06:00:00",3985,4374.042733983364,1194
"2021-12-06 06:10:00",4042,4371.99308654217,1199
"2021-12-06 06:20:00",4142,4369.713401366165,1221
"2021-12-06 06:30:00",4223,4367.100579105382,1222
"2021-12-06 06:40:00",4289,4364.020984823444,1067
"2021-12-06 06:50:00",4396,4360.799950421417,1036
"2021-12-06 07:00:00",4416,4356.916955875061,1058
"2021-12-06 07:10:00",4523,4353.17647220845,1019
"2021-12-06 07:20:00",4558,4348.990624827852,951
"2021-12-06 07:30:00",4593,4344.985894204814,967
"2021-12-06 07:40:00",4677,4340.886575221727,924
"2021-12-06 07:50:00",4760,4336.570677023081,934
"2021-12-06 08:00:00",4792,4332.326006720652,989
"2021-12-06 08:10:00",4842,4328.019717815237,1185
"2021-12-06 08:20:00",4885,4323.68518288988,1260
"2021-12-06 08:30:00",4937,4319.73463408252,1188
"2021-12-06 08:40:00",4960,4315.603175095024,1278
"2021-12-06 08:50:00",5006,4311.479889687655,1216
"2021-12-06 09:00:00",5020,4307.232385831541,1263
"2021-12-06 09:10:00",5034,4302.897871563928,1257
"2021-12-06 09:20:00",5039,4298.474553104169,1218
"2021-12-06 09:30:00",5036,4294.124517986007,1186
"2021-12-06 09:40:00",5104,4290.1164545805095,1291
"2021-12-06 09:50:00",5110,4286.124734892304,1326
"2021-12-06 10:00:00",5216,4282.685847380599,956
"2021-12-06 10:10:00",5284,4279.34499118603,1060
"2021-12-06 10:20:00",5454,4276.173862446978,1042
"2021-12-06 10:30:00",5592,4273.217894425163,1023
"2021-12-06 10:40:00",5781,4270.755236737728,1103
"2021-12-06 10:50:00",6017,4268.468128546245,1083
"2021-12-06 11:00:00",6199,4265.840467140416,1056
"2021-12-06 11:10:00",6453,4263.310809508069,1010
"2021-12-06 11:20:00",6647,4261.0199553792745,995
"2021-12-06 11:30:00",6927,4259.223258552304,954
"2021-12-06 11:40:00",7247,4257.50038905415,1004
"2021-12-06 11:50:00",7409,4255.226309012282,1272
"2021-12-06 12:00:00",7499,4253.442147992066,1476
"2021-12-06 12:10:00",7645,4252.293574064891,1515
"2021-12-06 12:20:00",7794,4251.2495145430485,1109
"2021-12-06 12:30:00",8053,4250.943473530544,1127
"2021-12-06 12:40:00",8239,4250.517273315703,1128
"2021-12-06 12:50:00",8388,4250.201753842339,1207
"2021-12-06 13:00:00",8432,4250.22513152096,1315
"2021-12-06 13:10:00",8585,4250.550325703739,1398
"2021-12-06 13:20:00",8638,4250.11957389963,1530
"2021-12-06 13:30:00",8731,4250.259874400925,1535
"2021-12-06 13:40:00",8742,4250.31015878918,1580
"2021-12-06 13:50:00",8760,4250.051795846415,1648
"2021-12-06 14:00:00",8682,4249.807714289648,1717
"2021-12-06 14:10:00",8540,4249.98346347711,1748
"2021-12-06 14:20:00",8358,4250.505715308764,1692
"2021-12-06 14:30:00",8167,4251.531416983417,1801
"2021-12-06 14:40:00",7952,4252.389722084503,1840
"2021-12-06 14:50:00",7748,4253.474322426045,2856
"2021-12-06 15:00:00",7384,4254.474959373107,2872
